Abbrev,ab_lon,ab_lat
AL,-86.9,32.1
AK,-117.0,28.5
AZ,-111.9,34.0
AR,-92.7,34.3
CA,-120.5,37.0
CO,-106.0,38.5
CT,-72.9,41.15
DE,-70.5,33.5
DC,-70.5,30.5
FL,-81.9,28.0
GA,-83.7,32.2
HI,-108.0,27.0
ID,-114.5,43.0
IL,-89.1,39.5
IN,-86.4,39.6
IA,-93.9,41.6
KS,-99.0,38.0
KY,-85.5,37.0
LA,-92.5,30.2
ME,-69.5,44.5
MD,-70.5,32.0
MA,-70.5,38.0
MI,-84.9,42.7
MN,-94.8,45.5
MS,-90.1,32.1
MO,-93.0,38.0
MT,-110.0,46.5
NE,-100.0,41.0
NV,-117.5,39.0
NH,-76.5,45.5
NM,-106.5,34.0
NJ,-70.5,35.0
NY,-75.5,42.5
NC,-78.7,35.0
ND,-101.0,46.8
OH,-83.3,39.9
OK,-97.5,35.0
OR,-121.0,43.5
PA,-78.0,40.4
RI,-70.5,36.5
SC,-81.0,33.3
SD,-100.5,44.0
TN,-86.6,35.4
TX,-99.5,31.0
UT,-112.0,39.0
VT,-76.5,47.0
VA,-78.5,37.1
WA,-120.5,47.0
WV,-81.4,38.0
WI,-89.9,44.0
WY,-108.0,42.5
